relative_time,LinearAccelerometerSensor
0,1.5777449952930034
64,0.6237686425062456
127,1.1362821389364757
190,0.7192712220769371
254,1.6192877947619486
317,0.9013937040088366
381,0.6464599881369724
444,1.5909284410910005
507,0.926476165454615
570,2.2689256500261705
634,2.0879267090836504
697,3.0079374213100873
763,4.331531272221343
825,2.0709865408496433
887,1.4237346853984902
951,3.117154458236535
1014,3.8252497871966797
1077,1.9128316853444056
1141,2.773966907961164
1205,4.45050978580158
1267,3.251343376112349
1331,3.982635118164359
1394,2.7008965628462303
1457,2.959615044692224
1521,1.3040468390425046
1584,2.320296059495628
1648,2.6203265595215295
1713,3.2139633289516842
1775,2.6984975378517566
1837,3.0243416944744395
1902,3.007940750360323
1964,3.83668402032935
2028,4.790022637108688
2091,4.073062019323649
2154,3.9404536476966703
2218,4.3848045568288345
2282,4.092220107884833
2344,4.311413835491121
2408,3.2401240021323776
2471,3.0885641387756633
2534,2.3329991260237515
2599,3.5005846897577
2661,2.7125598988753357
2726,1.2239372197487715
2788,2.024655715497424
2851,2.452690134562293
2914,2.254490080905734
2977,2.9497718140879963
3041,2.0539736359788416
3105,2.6124539969012455
3169,3.4729164463738043
3231,3.7939851540298655
3294,2.17743700674324
3358,2.601381221102998
3421,3.1461579279561924
3484,3.6203675761044485
3548,2.6781010060253743
3611,2.2486902239383895
3676,2.440569680889905
3738,1.927436411361612
3801,2.730189755311177
3864,1.8363093872023155
3928,1.0738914407247093
3993,2.718848478791833
4055,2.1349884224070763
4118,2.206787852141463
4181,3.214783381733097
4245,2.701616516808787
4309,3.666299295806089
4371,3.645548883876595
4434,3.1474377580689294
4498,3.752720672401339
4562,3.5649710668216357
4624,3.415869193321991
4689,2.819577108017122
4751,3.7204243713246723
4814,3.627177143727946
4878,2.6198269871377766
4942,3.0435929839505684
5006,1.8859825830515
5068,1.9754052675898999
5132,3.179171883581705
5194,2.7260513482354938
5258,1.8978758558065236
5321,3.031938926826505
5384,3.2806725856813137
5449,3.4397019702977487
5511,2.5508046171043977
5575,2.201405821640511
5638,2.816046449744162
5701,3.3356746239461637
5764,3.267809123774121
5829,2.9118478658885305
5891,3.0631769171772847
5955,3.124943847151747
6018,2.6878637023384635
6081,3.869555925228589
6144,3.220044366519051
6208,1.4369181409069907
6271,2.484152346056491
6335,2.978095993749335
6398,2.2857112373604203
6461,2.9961099835569014
6525,3.736915522264911
6588,3.3433559577711387
6651,3.873409313916458
6714,2.4047021222181226
6779,1.5049978282824084
6841,2.6743351725166606
6904,3.5179925025309204
6968,2.9549645240061286
7031,3.2281463651882523
7095,2.617626916236808
7158,3.489689353736733
7222,2.4016550953374733
7286,2.218602672574813
7348,3.6333830354656618
7411,2.125031078335755
7475,3.162397535269964
7538,4.975787475217883
7601,4.542954895050885
7664,3.9495539159826527
7728,3.6990297746576344
7792,1.6369341797270118
7855,2.1044565007487566
7918,3.1299795531558714
7981,3.790855502599559
8045,2.484819960183753
