"","mNeighborhood","YearMonth","Gun","Any.Weapon","Num.Crimes"
"1417","West River",200511,"0",0,143
"1418","West Rock",200511,"0",0,109
"1419","Westville",200511,"0",0,47
"1420","Wooster Square/Mill River",200511,"0",0,167
"1421","Amity",200512,"0",0,104
"1422","Annex",200512,"0",0,104
"1423","Beaver Hills",200512,"0",0,77
"1424","Dixwell",200512,"0",0,124
"1425","Downtown",200512,"0",0,304
"1426","Dwight",200512,"0",0,160
"1427","East Rock",200512,"0",0,132
"1428","East Shore",200512,"0",0,47
"1429","Edgewood",200512,"0",0,129
"1430","Fair Haven",200512,"0",0,411
"1431","Fair Haven Heights",200512,"0",0,111
"1432","Hill",200512,"0",0,458
"1433","Long Wharf",200512,"0",0,120
"1434","Newhallville",200512,"0",0,163
"1435","Prospect Hill",200512,"0",0,44
"1436","Quinnipiac",200512,"0",0,126
"1437","West River",200512,"0",0,112
"1438","West Rock",200512,"0",0,105
"1439","Westville",200512,"0",0,50
"1440","Wooster Square/Mill River",200512,"0",0,155
"1441","Amity",200601,"0",0,111
"1442","Annex",200601,"0",0,108
"1443","Beaver Hills",200601,"0",0,119
"1444","Dixwell",200601,"0",0,144
"1445","Downtown",200601,"0",0,330
"1446","Dwight",200601,"0",0,196
"1447","East Rock",200601,"0",0,144
"1448","East Shore",200601,"0",0,24
"1449","Edgewood",200601,"0",0,142
"1450","Fair Haven",200601,"0",0,477
"1451","Fair Haven Heights",200601,"0",0,83
"1452","Hill",200601,"0",0,472
"1453","Long Wharf",200601,"0",0,126
"1454","Newhallville",200601,"0",0,231
"1455","Prospect Hill",200601,"0",0,48
"1456","Quinnipiac",200601,"0",0,131
"1457","West River",200601,"0",0,140
"1458","West Rock",200601,"0",0,86
"1459","Westville",200601,"0",0,64
"1460","Wooster Square/Mill River",200601,"0",0,126
"1461","Amity",200602,"0",0,126
"1462","Annex",200602,"0",0,92
"1463","Beaver Hills",200602,"0",0,85
"1464","Dixwell",200602,"0",0,149
"1465","Downtown",200602,"0",0,334
"1466","Dwight",200602,"0",0,194
"1467","East Rock",200602,"0",0,101
"1468","East Shore",200602,"0",0,27
"1469","Edgewood",200602,"0",0,134
"1470","Fair Haven",200602,"0",0,406
"1471","Fair Haven Heights",200602,"0",0,86
"1472","Hill",200602,"0",0,442
"1473","Long Wharf",200602,"0",0,101
"1474","Newhallville",200602,"0",0,185
"1475","Prospect Hill",200602,"0",0,50
"1476","Quinnipiac",200602,"0",0,101
"1477","West River",200602,"0",0,115
"1478","West Rock",200602,"0",0,111
"1479","Westville",200602,"0",0,62
"1480","Wooster Square/Mill River",200602,"0",0,119
"1481","Amity",200603,"0",0,114
"1482","Annex",200603,"0",0,116
"1483","Beaver Hills",200603,"0",0,92
"1484","Dixwell",200603,"0",0,157
"1485","Downtown",200603,"0",0,408
"1486","Dwight",200603,"0",0,208
"1487","East Rock",200603,"0",0,104
"1488","East Shore",200603,"0",0,38
"1489","Edgewood",200603,"0",0,141
"1490","Fair Haven",200603,"0",0,616
"1491","Fair Haven Heights",200603,"0",0,78
"1492","Hill",200603,"0",0,472
"1493","Long Wharf",200603,"0",0,118
"1494","Newhallville",200603,"0",0,247
"1495","Prospect Hill",200603,"0",0,57
"1496","Quinnipiac",200603,"0",0,124
"1497","West River",200603,"0",0,153
"1498","West Rock",200603,"0",0,100
"1499","Westville",200603,"0",0,57
"1500","Wooster Square/Mill River",200603,"0",0,165
"1501","Amity",200604,"0",0,123
"1502","Annex",200604,"0",0,119
"1503","Beaver Hills",200604,"0",0,94
"1504","Dixwell",200604,"0",0,161
"1505","Downtown",200604,"0",0,276
"1506","Dwight",200604,"0",0,168
"1507","East Rock",200604,"0",0,116
"1508","East Shore",200604,"0",0,39
"1509","Edgewood",200604,"0",0,134
"1510","Fair Haven",200604,"0",0,450
"1511","Fair Haven Heights",200604,"0",0,100
"1512","Hill",200604,"0",0,592
"1513","Long Wharf",200604,"0",0,108
"1514","Newhallville",200604,"0",0,240
"1515","Prospect Hill",200604,"0",0,54
"1516","Quinnipiac",200604,"0",0,96
"1517","West River",200604,"0",0,115
"1518","West Rock",200604,"0",0,81
"1519","Westville",200604,"0",0,68
"1520","Wooster Square/Mill River",200604,"0",0,159
"1521","Amity",200605,"0",0,126
"1522","Annex",200605,"0",0,132
"1523","Beaver Hills",200605,"0",0,118
"1524","Dixwell",200605,"0",0,168
"1525","Downtown",200605,"0",0,300
"1526","Dwight",200605,"0",0,207
"1527","East Rock",200605,"0",0,125
"1528","East Shore",200605,"0",0,44
"1529","Edgewood",200605,"0",0,141
"1530","Fair Haven",200605,"0",0,552
"1531","Fair Haven Heights",200605,"0",0,76
"1532","Hill",200605,"0",0,557
"1533","Long Wharf",200605,"0",0,90
"1534","Newhallville",200605,"0",0,232
"1535","Prospect Hill",200605,"0",0,71
"1536","Quinnipiac",200605,"0",0,88
"1537","West River",200605,"0",0,138
"1538","West Rock",200605,"0",0,108
"1539","Westville",200605,"0",0,59
"1540","Wooster Square/Mill River",200605,"0",0,169
"1541","Amity",200606,"0",0,89
"1542","Annex",200606,"0",0,110
"1543","Beaver Hills",200606,"0",0,117
"1544","Dixwell",200606,"0",0,172
"1545","Downtown",200606,"0",0,298
"1546","Dwight",200606,"0",0,212
"1547","East Rock",200606,"0",0,123
"1548","East Shore",200606,"0",0,65
"1549","Edgewood",200606,"0",0,182
"1550","Fair Haven",200606,"0",0,701
"1551","Fair Haven Heights",200606,"0",0,118
"1552","Hill",200606,"0",0,529
"1553","Long Wharf",200606,"0",0,115
"1554","Newhallville",200606,"0",0,234
"1555","Prospect Hill",200606,"0",0,48
"1556","Quinnipiac",200606,"0",0,98
"1557","West River",200606,"0",0,148
"1558","West Rock",200606,"0",0,116
"1559","Westville",200606,"0",0,70
"1560","Wooster Square/Mill River",200606,"0",0,162
"1561","Amity",200607,"0",0,110
"1562","Annex",200607,"0",0,133
"1563","Beaver Hills",200607,"0",0,131
"1564","Dixwell",200607,"0",0,148
"1565","Downtown",200607,"0",0,344
"1566","Dwight",200607,"0",0,238
"1567","East Rock",200607,"0",0,109
"1568","East Shore",200607,"0",0,59
"1569","Edgewood",200607,"0",0,138
"1570","Fair Haven",200607,"0",0,483
"1571","Fair Haven Heights",200607,"0",0,82
"1572","Hill",200607,"0",0,588
"1573","Long Wharf",200607,"0",0,121
"1574","Newhallville",200607,"0",0,176
"1575","Prospect Hill",200607,"0",0,51
"1576","Quinnipiac",200607,"0",0,104
"1577","West River",200607,"0",0,166
"1578","West Rock",200607,"0",0,99
"1579","Westville",200607,"0",0,50
"1580","Wooster Square/Mill River",200607,"0",0,156
"1581","Amity",200608,"0",0,119
"1582","Annex",200608,"0",0,110
"1583","Beaver Hills",200608,"0",0,116
"1584","Dixwell",200608,"0",0,148
"1585","Downtown",200608,"0",0,325
"1586","Dwight",200608,"0",0,187
"1587","East Rock",200608,"0",0,115
"1588","East Shore",200608,"0",0,79
"1589","Edgewood",200608,"0",0,127
"1590","Fair Haven",200608,"0",0,456
"1591","Fair Haven Heights",200608,"0",0,80
"1592","Hill",200608,"0",0,560
"1593","Long Wharf",200608,"0",0,121
"1594","Newhallville",200608,"0",0,285
"1595","Prospect Hill",200608,"0",0,74
"1596","Quinnipiac",200608,"0",0,119
"1597","West River",200608,"0",0,144
"1598","West Rock",200608,"0",0,80
"1599","Westville",200608,"0",0,69
"1600","Wooster Square/Mill River",200608,"0",0,165
"1601","Amity",200609,"0",0,111
"1602","Annex",200609,"0",0,92
"1603","Beaver Hills",200609,"0",0,86
"1604","Dixwell",200609,"0",0,159
"1605","Downtown",200609,"0",0,325
"1606","Dwight",200609,"0",0,202
"1607","East Rock",200609,"0",0,100
"1608","East Shore",200609,"0",0,47
"1609","Edgewood",200609,"0",0,135
"1610","Fair Haven",200609,"0",0,396
"1611","Fair Haven Heights",200609,"0",0,91
"1612","Hill",200609,"0",0,597
"1613","Long Wharf",200609,"0",0,120
"1614","Newhallville",200609,"0",0,177
"1615","Prospect Hill",200609,"0",0,55
"1616","Quinnipiac",200609,"0",0,83
"1617","West River",200609,"0",0,116
"1618","West Rock",200609,"0",0,90
"1619","Westville",200609,"0",0,80
"1620","Wooster Square/Mill River",200609,"0",0,125
"1621","Amity",200610,"0",0,120
"1622","Annex",200610,"0",0,82
"1623","Beaver Hills",200610,"0",0,77
"1624","Dixwell",200610,"0",0,166
"1625","Downtown",200610,"0",0,349
"1626","Dwight",200610,"0",0,133
"1627","East Rock",200610,"0",0,156
"1628","East Shore",200610,"0",0,34
"1629","Edgewood",200610,"0",0,126
"1630","Fair Haven",200610,"0",0,581
"1631","Fair Haven Heights",200610,"0",0,102
"1632","Hill",200610,"0",0,475
"1633","Long Wharf",200610,"0",0,121
"1634","Newhallville",200610,"0",0,187
"1635","Prospect Hill",200610,"0",0,69
"1636","Quinnipiac",200610,"0",0,116
"1637","West River",200610,"0",0,119
"1638","West Rock",200610,"0",0,106
"1639","Westville",200610,"0",0,73
"1640","Wooster Square/Mill River",200610,"0",0,145
"1641","Amity",200611,"0",0,116
"1642","Annex",200611,"0",0,77
"1643","Beaver Hills",200611,"0",0,115
"1644","Dixwell",200611,"0",0,138
"1645","Downtown",200611,"0",0,353
"1646","Dwight",200611,"0",0,132
"1647","East Rock",200611,"0",0,107
"1648","East Shore",200611,"0",0,36
"1649","Edgewood",200611,"0",0,122
"1650","Fair Haven",200611,"0",0,406
"1651","Fair Haven Heights",200611,"0",0,71
"1652","Hill",200611,"0",0,416
"1653","Long Wharf",200611,"0",0,121
"1654","Newhallville",200611,"0",0,174
"1655","Prospect Hill",200611,"0",0,65
"1656","Quinnipiac",200611,"0",0,109
"1657","West River",200611,"0",0,107
"1658","West Rock",200611,"0",0,98
"1659","Westville",200611,"0",0,61
"1660","Wooster Square/Mill River",200611,"0",0,120
"1661","Amity",200612,"0",0,94
"1662","Annex",200612,"0",0,85
"1663","Beaver Hills",200612,"0",0,108
"1664","Dixwell",200612,"0",0,156
"1665","Downtown",200612,"0",0,277
"1666","Dwight",200612,"0",0,184
"1667","East Rock",200612,"0",0,91
"1668","East Shore",200612,"0",0,26
"1669","Edgewood",200612,"0",0,132
"1670","Fair Haven",200612,"0",0,402
"1671","Fair Haven Heights",200612,"0",0,86
"1672","Hill",200612,"0",0,444
"1673","Long Wharf",200612,"0",0,184
"1674","Newhallville",200612,"0",0,151
"1675","Prospect Hill",200612,"0",0,45
"1676","Quinnipiac",200612,"0",0,105
"1677","West River",200612,"0",0,134
"1678","West Rock",200612,"0",0,76
"1679","Westville",200612,"0",0,61
"1680","Wooster Square/Mill River",200612,"0",0,132
"1681","Amity",200701,"0",0,112
"1682","Annex",200701,"0",0,103
"1683","Beaver Hills",200701,"0",0,99
"1684","Dixwell",200701,"0",0,138
"1685","Downtown",200701,"0",0,313
"1686","Dwight",200701,"0",0,126
"1687","East Rock",200701,"0",0,110
"1688","East Shore",200701,"0",0,38
"1689","Edgewood",200701,"0",0,118
"1690","Fair Haven",200701,"0",0,449
"1691","Fair Haven Heights",200701,"0",0,64
"1692","Hill",200701,"0",0,447
"1693","Long Wharf",200701,"0",0,130
"1694","Newhallville",200701,"0",0,167
"1695","Prospect Hill",200701,"0",0,37
"1696","Quinnipiac",200701,"0",0,145
"1697","West River",200701,"0",0,107
"1698","West Rock",200701,"0",0,107
"1699","Westville",200701,"0",0,79
"1700","Wooster Square/Mill River",200701,"0",0,142
"1701","Amity",200702,"0",0,96
"1702","Annex",200702,"0",0,67
"1703","Beaver Hills",200702,"0",0,85
"1704","Dixwell",200702,"0",0,102
"1705","Downtown",200702,"0",0,239
"1706","Dwight",200702,"0",0,107
"1707","East Rock",200702,"0",0,82
"1708","East Shore",200702,"0",0,40
"1709","Edgewood",200702,"0",0,103
"1710","Fair Haven",200702,"0",0,347
"1711","Fair Haven Heights",200702,"0",0,67
"1712","Hill",200702,"0",0,387
"1713","Long Wharf",200702,"0",0,106
"1714","Newhallville",200702,"0",0,147
"1715","Prospect Hill",200702,"0",0,50
"1716","Quinnipiac",200702,"0",0,103
"1717","West River",200702,"0",0,73
"1718","West Rock",200702,"0",0,81
"1719","Westville",200702,"0",0,32
"1720","Wooster Square/Mill River",200702,"0",0,119
"1721","Amity",200703,"0",0,105
"1722","Annex",200703,"0",0,98
"1723","Beaver Hills",200703,"0",0,63
"1724","Dixwell",200703,"0",0,135
"1725","Downtown",200703,"0",0,337
"1726","Dwight",200703,"0",0,156
"1727","East Rock",200703,"0",0,141
"1728","East Shore",200703,"0",0,28
"1729","Edgewood",200703,"0",0,106
"1730","Fair Haven",200703,"0",0,416
"1731","Fair Haven Heights",200703,"0",0,107
"1732","Hill",200703,"0",0,437
"1733","Long Wharf",200703,"0",0,121
"1734","Newhallville",200703,"0",0,161
"1735","Prospect Hill",200703,"0",0,50
"1736","Quinnipiac",200703,"0",0,107
"1737","West River",200703,"0",0,95
"1738","West Rock",200703,"0",0,126
"1739","Westville",200703,"0",0,65
"1740","Wooster Square/Mill River",200703,"0",0,122
"1741","Amity",200704,"0",0,99
"1742","Annex",200704,"0",0,112
"1743","Beaver Hills",200704,"0",0,107
"1744","Dixwell",200704,"0",0,138
"1745","Downtown",200704,"0",0,306
"1746","Dwight",200704,"0",0,155
"1747","East Rock",200704,"0",0,97
"1748","East Shore",200704,"0",0,44
"1749","Edgewood",200704,"0",0,109
"1750","Fair Haven",200704,"0",0,391
"1751","Fair Haven Heights",200704,"0",0,95
"1752","Hill",200704,"0",0,470
"1753","Long Wharf",200704,"0",0,103
"1754","Newhallville",200704,"0",0,170
"1755","Prospect Hill",200704,"0",0,54
"1756","Quinnipiac",200704,"0",0,109
"1757","West River",200704,"0",0,118
"1758","West Rock",200704,"0",0,75
"1759","Westville",200704,"0",0,52
"1760","Wooster Square/Mill River",200704,"0",0,122
"1761","Amity",200705,"0",0,88
"1762","Annex",200705,"0",0,101
"1763","Beaver Hills",200705,"0",0,89
"1764","Dixwell",200705,"0",0,138
"1765","Downtown",200705,"0",0,295
"1766","Dwight",200705,"0",0,180
"1767","East Rock",200705,"0",0,125
"1768","East Shore",200705,"0",0,47
"1769","Edgewood",200705,"0",0,149
"1770","Fair Haven",200705,"0",0,404
"1771","Fair Haven Heights",200705,"0",0,89
"1772","Hill",200705,"0",0,521
"1773","Long Wharf",200705,"0",0,125
"1774","Newhallville",200705,"0",0,193
"1775","Prospect Hill",200705,"0",0,40
"1776","Quinnipiac",200705,"0",0,118
"1777","West River",200705,"0",0,130
"1778","West Rock",200705,"0",0,106
"1779","Westville",200705,"0",0,43
"1780","Wooster Square/Mill River",200705,"0",0,119
"1781","Amity",200706,"0",0,114
"1782","Annex",200706,"0",0,94
"1783","Beaver Hills",200706,"0",0,110
"1784","Dixwell",200706,"0",0,140
"1785","Downtown",200706,"0",0,252
"1786","Dwight",200706,"0",0,162
"1787","East Rock",200706,"0",0,124
"1788","East Shore",200706,"0",0,42
"1789","Edgewood",200706,"0",0,118
"1790","Fair Haven",200706,"0",0,368
"1791","Fair Haven Heights",200706,"0",0,73
"1792","Hill",200706,"0",0,473
"1793","Long Wharf",200706,"0",0,119
"1794","Newhallville",200706,"0",0,167
"1795","Prospect Hill",200706,"0",0,51
"1796","Quinnipiac",200706,"0",0,103
"1797","West River",200706,"0",0,133
"1798","West Rock",200706,"0",0,72
"1799","Westville",200706,"0",0,56
"1800","Wooster Square/Mill River",200706,"0",0,101
"1801","Amity",200707,"0",0,111
"1802","Annex",200707,"0",0,113
"1803","Beaver Hills",200707,"0",0,83
"1804","Dixwell",200707,"0",0,135
"1805","Downtown",200707,"0",0,340
"1806","Dwight",200707,"0",0,191
"1807","East Rock",200707,"0",0,74
"1808","East Shore",200707,"0",0,61
"1809","Edgewood",200707,"0",0,125
"1810","Fair Haven",200707,"0",0,435
"1811","Fair Haven Heights",200707,"0",0,88
"1812","Hill",200707,"0",0,505
"1813","Long Wharf",200707,"0",0,114
"1814","Newhallville",200707,"0",0,193
"1815","Prospect Hill",200707,"0",0,65
"1816","Quinnipiac",200707,"0",0,103
"1817","West River",200707,"0",0,115
"1818","West Rock",200707,"0",0,61
"1819","Westville",200707,"0",0,47
"1820","Wooster Square/Mill River",200707,"0",0,124
"1821","Amity",200708,"0",0,106
"1822","Annex",200708,"0",0,119
"1823","Beaver Hills",200708,"0",0,91
"1824","Dixwell",200708,"0",0,110
"1825","Downtown",200708,"0",0,323
"1826","Dwight",200708,"0",0,171
"1827","East Rock",200708,"0",0,118
"1828","East Shore",200708,"0",0,41
"1829","Edgewood",200708,"0",0,120
"1830","Fair Haven",200708,"0",0,460
"1831","Fair Haven Heights",200708,"0",0,99
"1832","Hill",200708,"0",0,555
"1833","Long Wharf",200708,"0",0,126
"1834","Newhallville",200708,"0",0,178
"1835","Prospect Hill",200708,"0",0,57
"1836","Quinnipiac",200708,"0",0,117
"1837","West River",200708,"0",0,152
"1838","West Rock",200708,"0",0,78
"1839","Westville",200708,"0",0,60
"1840","Wooster Square/Mill River",200708,"0",0,166
"1841","Amity",200709,"0",0,93
"1842","Annex",200709,"0",0,95
"1843","Beaver Hills",200709,"0",0,95
"1844","Dixwell",200709,"0",0,158
"1845","Downtown",200709,"0",0,384
"1846","Dwight",200709,"0",0,179
"1847","East Rock",200709,"0",0,129
"1848","East Shore",200709,"0",0,37
"1849","Edgewood",200709,"0",0,162
"1850","Fair Haven",200709,"0",0,429
"1851","Fair Haven Heights",200709,"0",0,101
"1852","Hill",200709,"0",0,515
"1853","Long Wharf",200709,"0",0,133
"1854","Newhallville",200709,"0",0,185
"1855","Prospect Hill",200709,"0",0,65
"1856","Quinnipiac",200709,"0",0,113
"1857","West River",200709,"0",0,146
"1858","West Rock",200709,"0",0,79
"1859","Westville",200709,"0",0,63
"1860","Wooster Square/Mill River",200709,"0",0,176
"1861","Amity",200710,"0",0,100
"1862","Annex",200710,"0",0,130
"1863","Beaver Hills",200710,"0",0,112
"1864","Dixwell",200710,"0",0,164
"1865","Downtown",200710,"0",0,345
"1866","Dwight",200710,"0",0,174
"1867","East Rock",200710,"0",0,143
"1868","East Shore",200710,"0",0,34
"1869","Edgewood",200710,"0",0,137
"1870","Fair Haven",200710,"0",0,422
"1871","Fair Haven Heights",200710,"0",0,74
"1872","Hill",200710,"0",0,541
"1873","Long Wharf",200710,"0",0,115
"1874","Newhallville",200710,"0",0,170
"1875","Prospect Hill",200710,"0",0,52
"1876","Quinnipiac",200710,"0",0,137
"1877","West River",200710,"0",0,151
"1878","West Rock",200710,"0",0,94
"1879","Westville",200710,"0",0,70
"1880","Wooster Square/Mill River",200710,"0",0,145
"1881","Amity",200711,"0",0,120
"1882","Annex",200711,"0",0,112
"1883","Beaver Hills",200711,"0",0,112
"1884","Dixwell",200711,"0",0,155
"1885","Downtown",200711,"0",0,345
"1886","Dwight",200711,"0",0,127
"1887","East Rock",200711,"0",0,132
"1888","East Shore",200711,"0",0,43
"1889","Edgewood",200711,"0",0,145
"1890","Fair Haven",200711,"0",0,412
"1891","Fair Haven Heights",200711,"0",0,84
"1892","Hill",200711,"0",0,454
"1893","Long Wharf",200711,"0",0,111
"1894","Newhallville",200711,"0",0,204
"1895","Prospect Hill",200711,"0",0,53
"1896","Quinnipiac",200711,"0",0,102
"1897","West River",200711,"0",0,167
"1898","West Rock",200711,"0",0,118
"1899","Westville",200711,"0",0,50
"1900","Wooster Square/Mill River",200711,"0",0,166
"1901","Amity",200712,"0",0,108
"1902","Annex",200712,"0",0,112
"1903","Beaver Hills",200712,"0",0,94
"1904","Dixwell",200712,"0",0,130
"1905","Downtown",200712,"0",0,276
"1906","Dwight",200712,"0",0,152
"1907","East Rock",200712,"0",0,101
"1908","East Shore",200712,"0",0,29
"1909","Edgewood",200712,"0",0,132
"1910","Fair Haven",200712,"0",0,373
"1911","Fair Haven Heights",200712,"0",0,79
"1912","Hill",200712,"0",0,433
"1913","Long Wharf",200712,"0",0,106
"1914","Newhallville",200712,"0",0,171
"1915","Prospect Hill",200712,"0",0,55
"1916","Quinnipiac",200712,"0",0,112
"1917","West River",200712,"0",0,134
"1918","West Rock",200712,"0",0,98
"1919","Westville",200712,"0",0,44
"1920","Wooster Square/Mill River",200712,"0",0,122
"1921","Amity",200801,"0",0,83
"1922","Annex",200801,"0",0,113
"1923","Beaver Hills",200801,"0",0,111
"1924","Dixwell",200801,"0",0,140
"1925","Downtown",200801,"0",0,390
"1926","Dwight",200801,"0",0,150
"1927","East Rock",200801,"0",0,121
"1928","East Shore",200801,"0",0,41
"1929","Edgewood",200801,"0",0,106
"1930","Fair Haven",200801,"0",0,456
"1931","Fair Haven Heights",200801,"0",0,114
"1932","Hill",200801,"0",0,548
"1933","Long Wharf",200801,"0",0,120
"1934","Newhallville",200801,"0",0,201
"1935","Prospect Hill",200801,"0",0,50
"1936","Quinnipiac",200801,"0",0,122
"1937","West River",200801,"0",0,139
"1938","West Rock",200801,"0",0,81
"1939","Westville",200801,"0",0,48
"1940","Wooster Square/Mill River",200801,"0",0,175
"1941","Amity",200802,"0",0,95
"1942","Annex",200802,"0",0,102
"1943","Beaver Hills",200802,"0",0,74
"1944","Dixwell",200802,"0",0,135
"1945","Downtown",200802,"0",0,337
"1946","Dwight",200802,"0",0,175
"1947","East Rock",200802,"0",0,100
"1948","East Shore",200802,"0",0,23
"1949","Edgewood",200802,"0",0,125
"1950","Fair Haven",200802,"0",0,405
"1951","Fair Haven Heights",200802,"0",0,75
"1952","Hill",200802,"0",0,469
"1953","Long Wharf",200802,"0",0,89
"1954","Newhallville",200802,"0",0,135
"1955","Prospect Hill",200802,"0",0,33
"1956","Quinnipiac",200802,"0",0,101
"1957","West River",200802,"0",0,131
"1958","West Rock",200802,"0",0,91
"1959","Westville",200802,"0",0,39
"1960","Wooster Square/Mill River",200802,"0",0,130
"1961","Amity",200803,"0",0,100
"1962","Annex",200803,"0",0,103
"1963","Beaver Hills",200803,"0",0,93
"1964","Dixwell",200803,"0",0,173
"1965","Downtown",200803,"0",0,326
"1966","Dwight",200803,"0",0,117
"1967","East Rock",200803,"0",0,131
"1968","East Shore",200803,"0",0,33
"1969","Edgewood",200803,"0",0,155
"1970","Fair Haven",200803,"0",0,419
"1971","Fair Haven Heights",200803,"0",0,87
"1972","Hill",200803,"0",0,538
"1973","Long Wharf",200803,"0",0,114
"1974","Newhallville",200803,"0",0,185
"1975","Prospect Hill",200803,"0",0,60
"1976","Quinnipiac",200803,"0",0,122
"1977","West River",200803,"0",0,149
"1978","West Rock",200803,"0",0,91
"1979","Westville",200803,"0",0,61
"1980","Wooster Square/Mill River",200803,"0",0,159
"1981","Amity",200804,"0",0,105
"1982","Annex",200804,"0",0,103
"1983","Beaver Hills",200804,"0",0,100
"1984","Dixwell",200804,"0",0,145
"1985","Downtown",200804,"0",0,341
"1986","Dwight",200804,"0",0,138
"1987","East Rock",200804,"0",0,127
"1988","East Shore",200804,"0",0,46
"1989","Edgewood",200804,"0",0,158
"1990","Fair Haven",200804,"0",0,415
"1991","Fair Haven Heights",200804,"0",0,92
"1992","Hill",200804,"0",0,513
"1993","Long Wharf",200804,"0",0,143
"1994","Newhallville",200804,"0",0,214
"1995","Prospect Hill",200804,"0",0,51
"1996","Quinnipiac",200804,"0",0,117
"1997","West River",200804,"0",0,123
"1998","West Rock",200804,"0",0,81
"1999","Westville",200804,"0",0,62
"2000","Wooster Square/Mill River",200804,"0",0,138
"2001","Amity",200805,"0",0,117
"2002","Annex",200805,"0",0,104
"2003","Beaver Hills",200805,"0",0,113
"2004","Dixwell",200805,"0",0,152
"2005","Downtown",200805,"0",0,369
"2006","Dwight",200805,"0",0,184
"2007","East Rock",200805,"0",0,134
"2008","East Shore",200805,"0",0,61
"2009","Edgewood",200805,"0",0,165
"2010","Fair Haven",200805,"0",0,422
"2011","Fair Haven Heights",200805,"0",0,82
"2012","Hill",200805,"0",0,579
"2013","Long Wharf",200805,"0",0,123
"2014","Newhallville",200805,"0",0,197
"2015","Prospect Hill",200805,"0",0,46
"2016","Quinnipiac",200805,"0",0,125
"2017","West River",200805,"0",0,167
"2018","West Rock",200805,"0",0,92
"2019","Westville",200805,"0",0,58
"2020","Wooster Square/Mill River",200805,"0",0,144
"2021","Amity",200806,"0",0,109
"2022","Annex",200806,"0",0,123
"2023","Beaver Hills",200806,"0",0,85
"2024","Dixwell",200806,"0",0,152
"2025","Downtown",200806,"0",0,392
"2026","Dwight",200806,"0",0,223
"2027","East Rock",200806,"0",0,146
"2028","East Shore",200806,"0",0,59
"2029","Edgewood",200806,"0",0,151
"2030","Fair Haven",200806,"0",0,426
"2031","Fair Haven Heights",200806,"0",0,98
"2032","Hill",200806,"0",0,596
"2033","Long Wharf",200806,"0",0,110
"2034","Newhallville",200806,"0",0,168
"2035","Prospect Hill",200806,"0",0,51
"2036","Quinnipiac",200806,"0",0,145
"2037","West River",200806,"0",0,144
"2038","West Rock",200806,"0",0,88
"2039","Westville",200806,"0",0,48
"2040","Wooster Square/Mill River",200806,"0",0,149
"2041","Amity",200807,"0",0,109
"2042","Annex",200807,"0",0,162
"2043","Beaver Hills",200807,"0",0,115
"2044","Dixwell",200807,"0",0,153
"2045","Downtown",200807,"0",0,402
"2046","Dwight",200807,"0",0,203
"2047","East Rock",200807,"0",0,165
"2048","East Shore",200807,"0",0,49
"2049","Edgewood",200807,"0",0,141
"2050","Fair Haven",200807,"0",0,432
"2051","Fair Haven Heights",200807,"0",0,77
"2052","Hill",200807,"0",0,574
"2053","Long Wharf",200807,"0",0,125
"2054","Newhallville",200807,"0",0,201
"2055","Prospect Hill",200807,"0",0,47
"2056","Quinnipiac",200807,"0",0,151
"2057","West River",200807,"0",0,123
"2058","West Rock",200807,"0",0,86
"2059","Westville",200807,"0",0,63
"2060","Wooster Square/Mill River",200807,"0",0,146
"2061","Amity",200808,"0",0,117
"2062","Annex",200808,"0",0,127
"2063","Beaver Hills",200808,"0",0,122
"2064","Dixwell",200808,"0",0,162
"2065","Downtown",200808,"0",0,437
"2066","Dwight",200808,"0",0,144
"2067","East Rock",200808,"0",0,177
"2068","East Shore",200808,"0",0,35
"2069","Edgewood",200808,"0",0,188
"2070","Fair Haven",200808,"0",0,473
"2071","Fair Haven Heights",200808,"0",0,96
"2072","Hill",200808,"0",0,603
"2073","Long Wharf",200808,"0",0,155
"2074","Newhallville",200808,"0",0,153
"2075","Prospect Hill",200808,"0",0,69
"2076","Quinnipiac",200808,"0",0,122
"2077","West River",200808,"0",0,163
"2078","West Rock",200808,"0",0,103
"2079","Westville",200808,"0",0,88
"2080","Wooster Square/Mill River",200808,"0",0,166
"2081","Amity",200809,"0",0,144
"2082","Annex",200809,"0",0,107
"2083","Beaver Hills",200809,"0",0,101
"2084","Dixwell",200809,"0",0,140
"2085","Downtown",200809,"0",0,386
"2086","Dwight",200809,"0",0,167
"2087","East Rock",200809,"0",0,137
"2088","East Shore",200809,"0",0,40
"2089","Edgewood",200809,"0",0,157
"2090","Fair Haven",200809,"0",0,389
"2091","Fair Haven Heights",200809,"0",0,97
"2092","Hill",200809,"0",0,481
"2093","Long Wharf",200809,"0",0,124
"2094","Newhallville",200809,"0",0,145
"2095","Prospect Hill",200809,"0",0,60
"2096","Quinnipiac",200809,"0",0,128
"2097","West River",200809,"0",0,157
"2098","West Rock",200809,"0",0,113
"2099","Westville",200809,"0",0,71
"2100","Wooster Square/Mill River",200809,"0",0,157
"2101","Amity",200810,"0",0,94
"2102","Annex",200810,"0",0,111
"2103","Beaver Hills",200810,"0",0,90
"2104","Dixwell",200810,"0",0,154
"2105","Downtown",200810,"0",0,531
"2106","Dwight",200810,"0",0,139
"2107","East Rock",200810,"0",0,140
"2108","East Shore",200810,"0",0,52
"2109","Edgewood",200810,"0",0,145
"2110","Fair Haven",200810,"0",0,432
