"","mNeighborhood","YearMonth","Gun","Any.Weapon","Num.Crimes"
"145","Downtown",200008,"0",0,334
"146","Dwight",200008,"0",0,150
"147","East Rock",200008,"0",0,142
"148","East Shore",200008,"0",0,35
"149","Edgewood",200008,"0",0,111
"150","Fair Haven",200008,"0",0,446
"151","Fair Haven Heights",200008,"0",0,103
"152","Hill",200008,"0",0,599
"153","Long Wharf",200008,"0",0,105
"154","Newhallville",200008,"0",0,212
"155","Prospect Hill",200008,"0",0,62
"156","Quinnipiac",200008,"0",0,118
"157","West River",200008,"0",0,136
"158","West Rock",200008,"0",0,139
"159","Westville",200008,"0",0,41
"160","Wooster Square/Mill River",200008,"0",0,152
"161","Amity",200009,"0",0,106
"162","Annex",200009,"0",0,89
"163","Beaver Hills",200009,"0",0,116
"164","Dixwell",200009,"0",0,162
"165","Downtown",200009,"0",0,368
"166","Dwight",200009,"0",0,129
"167","East Rock",200009,"0",0,156
"168","East Shore",200009,"0",0,33
"169","Edgewood",200009,"0",0,120
"170","Fair Haven",200009,"0",0,355
"171","Fair Haven Heights",200009,"0",0,71
"172","Hill",200009,"0",0,525
"173","Long Wharf",200009,"0",0,80
"174","Newhallville",200009,"0",0,206
"175","Prospect Hill",200009,"0",0,67
"176","Quinnipiac",200009,"0",0,109
"177","West River",200009,"0",0,134
"178","West Rock",200009,"0",0,125
"179","Westville",200009,"0",0,43
"180","Wooster Square/Mill River",200009,"0",0,113
"181","Amity",200010,"0",0,131
"182","Annex",200010,"0",0,109
"183","Beaver Hills",200010,"0",0,104
"184","Dixwell",200010,"0",0,171
"185","Downtown",200010,"0",0,340
"186","Dwight",200010,"0",0,211
"187","East Rock",200010,"0",0,140
"188","East Shore",200010,"0",0,32
"189","Edgewood",200010,"0",0,114
"190","Fair Haven",200010,"0",0,392
"191","Fair Haven Heights",200010,"0",0,106
"192","Hill",200010,"0",0,497
"193","Long Wharf",200010,"0",0,97
"194","Newhallville",200010,"0",0,197
"195","Prospect Hill",200010,"0",0,74
"196","Quinnipiac",200010,"0",0,126
"197","West River",200010,"0",0,122
"198","West Rock",200010,"0",0,155
"199","Westville",200010,"0",0,49
"200","Wooster Square/Mill River",200010,"0",0,140
"201","Amity",200011,"0",0,96
"202","Annex",200011,"0",0,97
"203","Beaver Hills",200011,"0",0,106
"204","Dixwell",200011,"0",0,157
