"time","response","mean","lower","upper","baseline","metric"
1,2.029467461,3.2479523207473,1.57122932680465,4.91422425894941,NA,"original"
2,2.837207184,3.24821350818128,1.64507053477811,4.91728318484835,NA,"original"
3,2.358175415,3.24826002599936,1.41335444020737,4.91574330513128,NA,"original"
4,1.411875767,3.24867440816035,1.44808693695262,5.00676448977562,NA,"original"
5,1.745348402,3.24883574935143,1.51080697708348,5.09426662367073,NA,"original"
6,1.721830694,3.24946865870188,1.47040039158055,4.84686330987763,NA,"original"
7,1.645676819,3.25028150300392,1.4587098275837,5.06340588892215,NA,"original"
8,1.961124366,3.25191090821206,1.58962634565149,5.07263748272371,NA,"original"
9,2.237448439,3.25276341247421,1.45098743314486,4.98418564837177,NA,"original"
10,2.267320827,3.25401231925022,1.390483407874,4.96949040519665,NA,"original"
11,3.103052661,3.25591838917797,1.51460848518371,5.04464907044398,NA,"original"
12,3.443552273,3.25733829349944,1.56847468148266,5.10342701925418,NA,"original"
13,4.251527175,3.25889534392307,1.38063540017456,4.97018392929445,NA,"original"
14,4.986583065,3.26073698694873,1.48453165719417,4.91425012185669,NA,"original"
15,5.064586633,3.26208086241315,1.60793501959773,5.08571556934219,NA,"original"
16,5.15442121,3.26306397097467,1.51895908746268,5.00918103121373,NA,"original"
17,3.838716017,3.26409805794637,1.45671855336522,5.02872710771241,NA,"original"
18,4.128164291,3.2646495105028,1.42020361319767,4.97492518648577,NA,"original"
19,3.811745241,3.2651733741357,1.44366167997593,5.00290258311648,NA,"original"
20,3.84280235,3.26586568710347,1.59029349495297,4.97728076206154,NA,"original"
21,3.772490136,3.26667542473716,1.46819746766612,5.10472769587275,NA,"original"
22,3.726233638,3.26725965211637,1.45612674887879,5.00315868172833,NA,"original"
23,2.912107083,3.26785808656462,1.56911800614297,5.08080668103593,NA,"original"
24,4.297258506,3.26790304858664,1.51800310897513,4.94343096484816,NA,"original"
25,3.460742954,3.26843872071292,1.56062909732984,5.08526768467037,NA,"original"
26,2.764022967,3.26889389403646,1.56018648506951,5.0540034386305,NA,"original"
27,2.405882473,3.2692124333385,1.48256835795275,4.98647310080427,NA,"original"
28,2.880030005,3.26975169204874,1.48587870009216,4.94042604119941,NA,"original"
29,3.159710187,3.27016665429868,1.55196302374217,4.96505986798335,NA,"original"
30,2.965900218,3.2708398022376,1.51945791954364,5.08136905540944,NA,"original"
31,3.1559297,3.27184456630385,1.61538494835814,4.98533426775198,NA,"original"
32,3.777815844,3.27174902885503,1.65496128785845,4.91838015018059,NA,"original"
33,3.537226118,3.27229672623503,1.48847174487235,5.04962363837544,NA,"original"
34,4.144368103,3.27251159159601,1.40549917184693,5.06439324846125,NA,"original"
35,4.902652272,3.27235273662745,1.48998370776316,4.98903774536949,NA,"original"
36,3.643476426,3.27178162777588,1.61568613688407,5.04428832899546,NA,"original"
37,3.010521241,3.27259813021683,1.67673635416813,4.99345352134626,NA,"original"
38,3.092791785,3.27268988527575,1.55183071142339,4.92043118262635,NA,"original"
39,3.14970293,3.27344903378687,1.48280549409084,5.05270271208904,NA,"original"
40,2.682536754,3.27352248107362,1.61486450651102,4.94024394591885,NA,"original"
41,2.895178266,3.27431399047462,1.65053230230439,4.94220320380787,NA,"original"
42,3.13283868,3.2749995025684,1.65260260741112,5.1061083791452,NA,"original"
43,2.764347536,3.27457028583813,1.51406295009577,4.98955774378043,NA,"original"
44,3.065117943,3.27497273735347,1.46878695436561,5.16693636195959,NA,"original"
45,2.742512132,3.27548635389404,1.63683589744167,5.01432043417332,NA,"original"
46,2.192637813,3.27617520646017,1.54630261353004,4.96788689269421,NA,"original"
47,3.458239052,3.27679906544134,1.59881188100485,5.0231656202359,NA,"original"
48,3.21076627,3.27708545057094,1.60902083433341,4.92545498028262,NA,"original"
49,2.915509966,3.27717816673701,1.59469751265102,5.01155195195547,NA,"original"
