relative_time,LinearAccelerometerSensor
0,2.636902482024512
56,0.899866311422551
113,1.2243216874811316
173,0.43199177953174966
229,1.3388259625365935
286,1.4320186100395176
344,0.6816552496710254
401,0.8835835423373206
459,0.7769836665269235
516,1.807375404843837
573,2.1999584194068627
630,2.609667733041868
688,2.9316059799231198
746,3.6876712048113673
802,1.5229778672361547
860,2.502724307560815
918,2.0602594401121643
976,2.8898395192820985
1032,3.981646153069963
1089,5.54163140689656
1151,3.6206229520081084
1205,5.110367891390165
1275,4.767584125994789
1319,7.1947976921221635
1385,3.546303589624029
1435,2.9634458038075357
1491,2.4532814704900265
1550,2.3298930168967686
1610,3.5750039160646985
1664,0.9373852659589895
1721,3.3938046501915973
1778,2.1514183866042305
1835,2.9413731789724533
1892,2.3488143121137797
1951,3.2966197127446386
2007,3.0677159324944787
2065,3.25713694495427
2122,3.1736389667189084
2180,4.476788739783719
2238,4.011552578791312
2294,3.252886004284896
2351,4.382394699337481
2410,3.208278028003225
2469,2.6818163009190243
2527,1.975925267447284
2582,1.6397316089685785
2639,2.6494822734146894
2697,3.315452986847439
2755,2.803709746984683
2810,2.324509546376411
2869,3.118825228897997
2929,1.986847066091924
2984,1.8231918417911694
3040,2.4748812483225007
3098,2.1384472315309155
3156,1.8520620452836019
3213,2.8539577509767646
3270,3.282119781019274
3327,3.1279231323592724
3396,4.091949066754985
3445,2.306238098940859
3500,2.0259835856790445
3556,3.315789514715311
3629,2.8914130708891785
3681,2.577682919602174
3729,2.031658659687907
3786,2.00186785260466
3844,2.49197625966038
3905,2.7794478503442375
3960,2.1562383900205444
4016,1.9825534419857613
4080,2.6019967664658954
4130,1.8524506446760447
4195,2.90539062263665
4245,3.0982599235430537
4303,1.9517595935310659
4360,2.1429418569804177
4417,3.500729484830891
4475,3.638540039295117
4532,4.274571465323536
4590,2.6893237823212077
4648,2.3669424402275485
4706,2.966584710978621
4772,2.4166351732854707
4821,2.1991593401999925
4884,3.1903258120811806
4934,2.7105720559531186
4992,3.4610303603689334
5050,2.469791530661148
5106,1.6119157309265266
5165,2.572985618583734
5220,2.5465647502631295
5278,1.8977600270301516
5335,1.8518207225125833
5393,4.509553305417766
5456,1.9886017486730316
5508,2.435402579113169
5572,2.7275863517707313
5628,2.5524098920469345
5680,2.6917710188566453
5747,1.8629450784676833
5802,2.327740528695822
5859,3.1752016258798803
5913,3.349667598118252
5968,3.3103483877628737
6025,3.216465259498999
6081,2.665968942757503
6139,3.1185870171963592
6196,2.8807511234958256
6254,2.9597663274237815
6313,2.6414847695415027
6369,3.017219082604318
6426,1.7569892142132502
6483,3.1701914260780084
6541,3.3714947334937473
6598,2.7452310479488453
6655,3.1151708518699794
6712,3.1561670575716194
6770,2.6957099953157453
6829,2.0590512891016393
6904,2.395579272081833
6941,2.1718868557174167
7002,2.6504624988815246
7058,3.419894546756888
7135,2.553372012344236
7177,2.1923349625902975
7229,3.3578115684255923
7288,2.4025200011565007
7345,2.6567610305179516
7403,3.2026675013885977
7459,2.701984672147136
7515,3.0216210401582706
7575,4.006942684379616
7630,2.858690023456114
7687,3.3714490506563903
7746,4.240298249173442
7812,2.4492243959888076
7860,2.701591188842168
7917,2.4498895581323454
7975,2.195078990097193
8032,2.3404495397587057
8091,2.963322707916308
8148,3.3635877586995755
8205,2.4448428937055127
8262,1.798959070797143
8319,2.1737470723111056
8377,2.389533897183418
8445,2.3613511455918803
8490,2.498422029314936
8549,2.5494877805684464
8607,3.528834639374356
8664,2.676863625462405
8721,1.8467271981262734
8782,3.823321134841026
8850,3.8541172058780866
8896,2.2740135904944405
