"time","response","mean","lower","upper","baseline","metric"
1,2.63690248202451,2.19986286367231,0.675888198966937,3.68764113480996,NA,"original"
2,1.22432168748113,1.99845655653852,0.508496765416378,3.47559975578062,NA,"original"
3,0.43199177953175,1.80848848910995,0.373702603148756,3.22886085908018,NA,"original"
4,1.43201861003952,1.89144645442805,0.394965245829357,3.36882247507759,NA,"original"
5,0.883583542337321,1.77561686111521,0.247886945780969,3.24543029495379,NA,"original"
6,1.80737540484384,1.90328891656499,0.369371374012678,3.25833601945633,NA,"original"
7,2.19995841940686,2.51348225071166,0.940094205594118,4.04094218643997,NA,"original"
8,2.93160597992312,2.84934105761105,1.46503596593836,4.17264161809703,NA,"original"
9,1.52297786723615,2.42421430037819,0.962155289894152,3.91910210406943,NA,"original"
10,2.06025944011216,2.13088443927344,0.653257523390955,3.47747205622436,NA,"original"
11,2.8898395192821,3.22317829577037,1.82209123924391,4.64565225302663,NA,"original"
12,5.54163140689656,2.35460449540948,0.923994260746834,3.93399630703347,NA,"original"
13,5.11036789139017,3.50805567300889,1.97922668875407,5.03546597129776,NA,"original"
14,7.19479769212216,3.29497519055263,1.85551002979318,4.74204621231853,NA,"original"
15,3.54630358962403,2.71183137857227,1.20602035958602,4.20707113298731,NA,"original"
16,2.45328147049003,2.07657839206277,0.646990013839024,3.53697518638438,NA,"original"
17,3.5750039160647,2.5374219573304,1.09167126464732,4.07727837197179,NA,"original"
18,3.3938046501916,2.94248482655946,1.53966102982377,4.3340989960399,NA,"original"
19,2.15141838660423,2.70693049939085,1.37576864986981,4.16502191007495,NA,"original"
20,2.34881431211378,2.84654820474576,1.2996129002605,4.28616947662299,NA,"original"
21,3.06771593249448,3.6556191349743,2.15787035032671,5.21098984721101,NA,"original"
22,3.17363896671891,3.32892804086809,1.86157387327329,4.74139403162813,NA,"original"
23,4.47678873978372,3.46988231665382,2.14171299200501,4.86432590660612,NA,"original"
24,3.2528860042849,3.33575305182483,1.89344642107803,4.73598690055212,NA,"original"
25,3.20827802800323,2.94723886464487,1.54012061913389,4.38247243917529,NA,"original"
26,1.97592526744728,2.87696786139828,1.3289508312042,4.25306939950944,NA,"original"
27,1.63973160896858,3.06349331088241,1.49109529552611,4.54752055396479,NA,"original"
28,3.31545298684744,2.02811409574671,0.556849775276754,3.4016707226329,NA,"original"
29,2.32450954637641,2.39112255557223,0.887551352864008,3.86587235142664,NA,"original"
30,1.98684706609192,2.49485810343242,0.976114485977209,3.96331389099329,NA,"original"
31,1.82319184179117,2.80997416765687,1.27559034609183,4.24803477915531,NA,"original"
32,2.13844723153092,2.65590896587225,1.21810348966466,4.18510177737656,NA,"original"
33,2.85395775097676,3.19262375005745,1.73068854129595,4.77274538966549,NA,"original"
