"time","response","mean","lower","upper","baseline","metric"
1,2.63690248202451,2.69340455775664,0.782918970892005,4.46501457587422,NA,"original"
2,1.22432168748113,2.69278255358067,0.930018177215315,4.65238317959265,NA,"original"
3,0.43199177953175,2.69251924719953,0.788339305537817,4.44980412560508,NA,"original"
4,1.43201861003952,2.6928790695847,0.920739505694219,4.68486630414407,NA,"original"
5,0.883583542337321,2.69311118529288,0.762856129430534,4.34793724800126,NA,"original"
6,1.80737540484384,2.69372920653714,0.705498764848616,4.66396568836303,NA,"original"
7,2.19995841940686,2.69415423918193,0.740215873823159,4.56895508355756,NA,"original"
8,2.93160597992312,2.69445866479627,0.928883181135206,4.47154439413882,NA,"original"
9,1.52297786723615,2.69545810153101,0.775947714979359,4.57035810745941,NA,"original"
10,2.06025944011216,2.69653256467299,0.81374918856405,4.58455691105999,NA,"original"
11,2.8898395192821,2.69776847666364,0.748696514133674,4.62673602056197,NA,"original"
12,5.54163140689656,2.6985541032088,0.879267636754581,4.49533920817155,NA,"original"
13,5.11036789139017,2.69919173669047,0.826228716018098,4.65718327418097,NA,"original"
14,7.19479769212216,2.69932066112069,0.715661301713252,4.54849441227151,NA,"original"
15,3.54630358962403,2.69942291126251,0.850573800833173,4.55118076855427,NA,"original"
16,2.45328147049003,2.69981854006118,0.689274949403788,4.42829004975891,NA,"original"
17,3.5750039160647,2.6996818128896,0.873095824667997,4.61800845520395,NA,"original"
18,3.3938046501916,2.69961459549462,0.8551062906461,4.64911926720049,NA,"original"
19,2.15141838660423,2.6993146685311,0.794813231322802,4.43237656721498,NA,"original"
20,2.34881431211378,2.6992890116105,0.956568795513219,4.6366540194532,NA,"original"
21,3.06771593249448,2.69940134627664,0.788415667521556,4.58556606373513,NA,"original"
22,3.17363896671891,2.69931820037927,0.811924270397546,4.47392931699192,NA,"original"
23,4.47678873978372,2.69929425234037,0.883478353550063,4.67887184723076,NA,"original"
24,3.2528860042849,2.69882672017854,0.753808197284532,4.48977368950796,NA,"original"
25,3.20827802800323,2.69819296241021,1.00237641214959,4.49098068278786,NA,"original"
26,1.97592526744728,2.69741426584882,0.782334502163857,4.55016556465257,NA,"original"
27,1.63973160896858,2.69721186147341,0.744379191431313,4.50724278245826,NA,"original"
28,3.31545298684744,2.6968554486884,0.835121481613341,4.71924356079695,NA,"original"
29,2.32450954637641,2.6965216154853,0.796312670198685,4.53386778507565,NA,"original"
30,1.98684706609192,2.69639388211775,0.961990543634302,4.68354075810625,NA,"original"
31,1.82319184179117,2.69607172656049,0.951236053922125,4.52496800048987,NA,"original"
32,2.13844723153092,2.69575990064356,0.813152763867655,4.48751337668167,NA,"original"
33,2.85395775097676,2.69592781302595,0.74851937087504,4.66918216754616,NA,"original"
34,3.12792313235927,2.69573572015382,0.858523634270701,4.55431923289469,NA,"original"
35,4.09194906675499,2.69565004111552,0.814165273695989,4.53245134615133,NA,"original"
36,2.02598358567904,2.6953764104716,0.852980843224412,4.57400885536647,NA,"original"
37,2.89141307088918,2.69502536531768,0.698784285483766,4.64771659971588,NA,"original"
